300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,616 sq. ft,$1777
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,960 sq. ft,$1275
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,1020 sq. ft,$1750
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,918 sq. ft,$1656
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,960 sq. ft,$1295
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,1 Bathroom,772 sq. ft,$1150
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
6575 Jaffe Ct San Diego CA 92119,9.9 Miles - Walk Score: 71,1 Bedroom,1 Bathroom,755 sq. ft,$1259
6575 Jaffe Ct San Diego CA 92119,9.9 Miles - Walk Score: 71,1 Bedroom,1 Bathroom,692 sq. ft,$1284
6575 Jaffe Ct San Diego CA 92119,9.9 Miles - Walk Score: 71,2 Bedroom,2 Bathroom,900 sq. ft,$1665
6575 Jaffe Ct San Diego CA 92119,9.9 Miles - Walk Score: 71,2 Bedroom,2 Bathroom,1122 sq. ft,$1883
San Diego CA 92122,10 Miles - Walk Score: 62,2 Bedroom,1 Bathroom,925 sq. ft,$2290
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,600 sq. ft,$695
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,854 sq. ft,$1733
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,712 sq. ft,$1505
